#auto generated file!
180.0;24;34;42
186.0;25;36;39
192.0;27;33;40
198.0;27;33;40
204.0;27;34;39
210.0;29;33;38
216.0;29;34;37
222.0;31;35;34
228.0;31;36;33
234.0;31;34;35
240.0;30;35;35
246.0;31;36;33
252.0;31;37;32
258.0;31;37;32
264.0;32;38;30
270.0;31;40;29
276.0;32;39;29
282.0;32;39;29
288.0;31;39;30
294.0;31;39;30
300.0;30;40;30
306.0;30;40;30
312.0;32;39;29
318.0;33;39;28
324.0;34;37;29
330.0;34;38;28
336.0;35;37;28
342.0;34;38;28
348.0;34;37;29
354.0;36;36;28
360.0;36;35;29
366.0;36;36;28
372.0;36;36;28
378.0;36;36;28
384.0;36;35;29
390.0;36;35;29
396.0;35;35;30
402.0;35;36;29
408.0;35;36;29
414.0;35;36;29
420.0;33;37;30
426.0;32;38;30
432.0;31;41;28
438.0;32;40;28
444.0;32;41;27
450.0;32;40;28
456.0;32;39;29
462.0;32;41;27
468.0;33;40;27
474.0;33;39;28
480.0;33;40;27
486.0;33;39;28
492.0;34;39;27
498.0;34;37;29
504.0;34;37;29
510.0;34;37;29
516.0;33;37;30
522.0;34;39;27
528.0;35;39;26
534.0;35;40;25
540.0;36;40;24
546.0;38;41;21
552.0;36;40;24
558.0;35;39;26
564.0;36;39;25
570.0;35;41;24
576.0;34;39;27
582.0;34;38;28
588.0;35;37;28
594.0;36;37;27
600.0;37;37;26
606.0;37;37;26
612.0;38;38;24
618.0;38;38;24
624.0;38;37;25
630.0;39;38;23
636.0;40;36;24
642.0;39;38;23
648.0;38;36;26
654.0;38;36;26
660.0;37;37;26
666.0;38;35;27
672.0;38;34;28
678.0;38;33;29
684.0;36;36;28
690.0;37;36;27
696.0;38;35;27
702.0;38;35;27
708.0;38;36;26
714.0;38;34;28
720.0;37;34;29
726.0;37;34;29
732.0;37;34;29
738.0;35;35;30
744.0;36;34;30
750.0;35;35;30
756.0;34;36;30
762.0;34;37;29
768.0;33;37;30
774.0;33;37;30
780.0;35;36;29
786.0;35;36;29
792.0;37;36;27
798.0;37;36;27
804.0;37;36;27
810.0;37;36;27
816.0;37;37;26
822.0;36;38;26
828.0;36;39;25
834.0;36;38;26
840.0;35;36;29
846.0;35;38;27
852.0;34;38;28
858.0;35;39;26
864.0;36;39;25
870.0;36;40;24
876.0;35;41;24
882.0;34;42;24
888.0;32;42;26
894.0;32;45;23
900.0;32;45;23
906.0;32;45;23
912.0;32;46;22
918.0;30;46;24
924.0;30;46;24
930.0;30;46;24
936.0;33;45;22
942.0;32;44;24
948.0;32;45;23
954.0;32;45;23
960.0;32;45;23
966.0;30;44;26
972.0;30;43;27
978.0;30;42;28
984.0;30;43;27
990.0;32;40;28
996.0;32;41;27
1002.0;32;42;26
1008.0;32;42;26
1014.0;31;44;25
1020.0;32;45;23
1026.0;30;46;24
1032.0;30;46;24
1038.0;30;44;26
1044.0;30;44;26
1050.0;30;43;27
1056.0;30;41;29
1062.0;30;42;28
1068.0;31;43;26
1074.0;32;43;25
1080.0;33;43;24
1086.0;34;43;23
1092.0;35;44;21
1098.0;35;43;22
1104.0;36;43;21
1110.0;36;44;20
1116.0;36;44;20
1122.0;37;43;20
1128.0;36;42;22
1134.0;35;41;24
1140.0;34;42;24
1146.0;34;40;26
1152.0;33;41;26
1158.0;33;41;26
1164.0;33;40;27
1170.0;33;41;26
1176.0;33;40;27
1182.0;34;40;26
1188.0;34;39;27
1194.0;35;40;25
1200.0;35;40;25
1206.0;35;39;26
1212.0;35;40;25
1218.0;35;40;25
1224.0;35;40;25
1230.0;35;39;26
1236.0;35;40;25
1242.0;35;41;24
1248.0;35;41;24
1254.0;35;41;24
1260.0;34;42;24
1266.0;34;41;25
1272.0;34;42;24
1278.0;33;42;25
1284.0;33;42;25
1290.0;32;43;25
1296.0;32;43;25
1302.0;33;43;24
1308.0;33;42;25
1314.0;35;42;23
1320.0;35;41;24
1326.0;35;41;24
1332.0;38;40;22
1338.0;37;39;24
1344.0;37;39;24
1350.0;39;37;24
1356.0;40;39;21
